,k,distance between 2 TPPs
150,7.631801801801801,16.054785503638534
151,7.6404804804804805,16.306809250499583
152,7.64915915915916,16.561717472334713
153,7.657837837837838,16.819536493918186
154,7.666516516516516,17.080292869790085
155,7.6751951951951956,17.3440133860608
156,7.683873873873874,17.61072506223298
157,7.692552552552552,17.880455153040124
158,7.701231231231231,18.15323115030199
159,7.70990990990991,18.429080784797904
160,7.718588588588588,18.708032028156225
161,7.727267267267267,18.990113094761746
162,7.735945945945946,19.27535244368009
163,7.744624624624625,19.56377878060036
164,7.753303303303303,19.855421059793343
165,7.761981981981982,20.15030848609021
166,7.770660660660661,20.448470516876384
167,7.779339339339339,20.74993686410427
168,7.788018018018018,21.054737496324336
169,7.796696696696697,21.362902640733296
170,7.805375375375375,21.67446278524092
171,7.814054054054054,21.989448680555142
